evento,driver,codice,prob_mercato,volume,data
Hungarian Grand Prix: Driver Pole Position,Kimi Antonelli,ANT,0.245,7287.822569999999,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Lando Norris,NOR,0.245,4707.726276000001,2026-06-27
Hungarian Grand Prix: Driver Podium Finish,Oscar Piastri,PIA,0.17,407.323572,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Charles Leclerc,LEC,0.16,576.693818,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Lewis Hamilton,HAM,0.155,1239.750293,2026-06-27
Will there be a red flag during the 2026 F1 Hungarian Grand Prix?,Will there be a red flag during the 2026 F1 Hungarian Grand Prix?,,0.15,252.142493,2026-06-27
F1 Constructors' Champion,Ferrari,,0.126,636142.110380002,2025-12-09
F1 Drivers' Champion,Lewis Hamilton,HAM,0.1215,5078189.832445929,2025-12-09
Hungarian Grand Prix: Constructor Pole Position,Red Bull,,0.12,196.310449,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,George Russell,RUS,0.115,102.37604100000001,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Max Verstappen,VER,0.105,98.715638,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Fernando Alonso,ALO,0.098,175,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Alexander Albon,ALB,0.098,203.2,2026-06-27
