evento,driver,codice,prob_mercato,volume,data
Hungarian Grand Prix: Constructor Pole Position,Audi Revolut,,0.455,,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Cadillac,,0.455,,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Ferrari,,0.455,,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Mclaren Mastercard,,0.455,,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Red Bull,,0.455,,2026-06-27
Hungarian Grand Prix: Constructor Fastest Lap,Mclaren Mastercard,,0.455,,2026-06-27
Borchetta Bourbon Music City Grand Prix: Race Winner,Christian Rasmussen,,0.455,,2026-07-06
Borchetta Bourbon Music City Grand Prix: Pole Position,Kyle Kirkwood,,0.455,,2026-07-06
Belgian Grand Prix: Driver Pole Position,Esteban Ocon,OCO,0.45,,2026-06-20
Belgian Grand Prix: Practice 2 Fastest Lap,George Russell,RUS,0.45,,2026-06-20
Hungarian Grand Prix: Practice 2 Fastest Lap,Kimi Antonelli,ANT,0.45,,2026-06-27
Borchetta Bourbon Music City Grand Prix: Race Winner,Scott McLaughlin,,0.45,,2026-07-06
Hungarian Grand Prix: Driver Pole Position,Charles Leclerc,LEC,0.445,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Lando Norris,NOR,0.445,,2026-06-27
Belgian Grand Prix: Practice 3 Fastest Lap,Gabriel Bortoleto,BOR,0.44,,2026-06-20
Belgian Grand Prix: Practice 3 Fastest Lap,Arvid Lindblad,LIN,0.44,,2026-06-20
Hungarian Grand Prix: Driver Pole Position,Liam Lawson,LAW,0.44,,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Franco Colapinto,COL,0.44,,2026-06-27
Belgian Grand Prix: Practice 2 Fastest Lap,Gabriel Bortoleto,BOR,0.435,,2026-06-20
Belgian Grand Prix: Practice 2 Fastest Lap,Charles Leclerc,LEC,0.435,,2026-06-20
Hungarian Grand Prix: Driver Fastest Lap,Lando Norris,NOR,0.435,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Sergio Perez,PER,0.435,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Oscar Piastri,PIA,0.435,,2026-06-27
Belgian Grand Prix: Practice 2 Fastest Lap,Pierre Gasly,GAS,0.43,,2026-06-20
Belgian Grand Prix: Practice 2 Fastest Lap,Carlos Sainz Jr.,SAI,0.43,,2026-06-20
Belgian Grand Prix: Practice 3 Fastest Lap,Alexander Albon,ALB,0.43,,2026-06-20
Hungarian Grand Prix: Driver Fastest Lap,Valtteri Bottas,BOT,0.43,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Arvid Lindblad,LIN,0.43,,2026-06-27
Belgian Grand Prix: Driver Fastest Lap,Franco Colapinto,COL,0.425,,2026-06-20
Belgian Grand Prix: Practice 3 Fastest Lap,Oscar Piastri,PIA,0.425,,2026-06-20
Hungarian Grand Prix: Practice 1 Fastest Lap,Liam Lawson,LAW,0.425,,2026-06-27
Belgian Grand Prix: Driver Pole Position,Carlos Sainz Jr.,SAI,0.42,,2026-06-20
Belgian Grand Prix: Driver Pole Position,Isack Hadjar,HAD,0.42,,2026-06-20
Belgian Grand Prix: Driver Fastest Lap,Pierre Gasly,GAS,0.42,,2026-06-20
Belgian Grand Prix: Practice 1 Fastest Lap,Gabriel Bortoleto,BOR,0.42,,2026-06-20
Belgian Grand Prix: Practice 2 Fastest Lap,Alexander Albon,ALB,0.42,,2026-06-20
Belgian Grand Prix: Practice 2 Fastest Lap,Esteban Ocon,OCO,0.42,,2026-06-20
Belgian Grand Prix: Practice 3 Fastest Lap,Lando Norris,NOR,0.42,,2026-06-20
Belgian Grand Prix: Practice 3 Fastest Lap,Lance Stroll,STR,0.42,,2026-06-20
Hungarian Grand Prix: Driver Fastest Lap,Sergio Perez,PER,0.42,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Kimi Antonelli,ANT,0.42,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Max Verstappen,VER,0.42,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Nico Hulkenberg,HUL,0.42,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Oscar Piastri,PIA,0.42,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Isack Hadjar,HAD,0.42,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Alexander Albon,ALB,0.42,,2026-06-27
Belgian Grand Prix: Driver Winner,Kimi Antonelli,ANT,0.415,3086.3176209999997,2026-06-20
Belgian Grand Prix: Driver Fastest Lap,Lewis Hamilton,HAM,0.415,,2026-06-20
Belgian Grand Prix: Practice 3 Fastest Lap,George Russell,RUS,0.415,,2026-06-20
Hungarian Grand Prix: Driver Winner,Kimi Antonelli,ANT,0.415,1239.8107810000001,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Pierre Gasly,GAS,0.415,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Sergio Perez,PER,0.415,,2026-06-27
Belgian Grand Prix: Driver Pole Position,Arvid Lindblad,LIN,0.41,,2026-06-20
Belgian Grand Prix: Practice 3 Fastest Lap,Pierre Gasly,GAS,0.41,,2026-06-20
Hungarian Grand Prix: Driver Pole Position,Fernando Alonso,ALO,0.41,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Alexander Albon,ALB,0.41,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Gabriel Bortoleto,BOR,0.41,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Sergio Perez,PER,0.41,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Esteban Ocon,OCO,0.41,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Lando Norris,NOR,0.41,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Kimi Antonelli,ANT,0.41,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Max Verstappen,VER,0.41,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Franco Colapinto,COL,0.41,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Carlos Sainz Jr.,SAI,0.41,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Nico Hulkenberg,HUL,0.41,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Valtteri Bottas,BOT,0.41,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Lewis Hamilton,HAM,0.41,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Oliver Bearman,BEA,0.41,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,George Russell,RUS,0.41,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Arvid Lindblad,LIN,0.41,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Isack Hadjar,HAD,0.41,,2026-06-27
Hungarian Grand Prix: Driver Pole Position,Lance Stroll,STR,0.41,,2026-06-27
Hungarian Grand Prix: Driver Fastest Lap,Isack Hadjar,HAD,0.41,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Franco Colapinto,COL,0.41,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Alexander Albon,ALB,0.41,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Charles Leclerc,LEC,0.41,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Lando Norris,NOR,0.41,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Max Verstappen,VER,0.41,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,George Russell,RUS,0.41,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Arvid Lindblad,LIN,0.41,,2026-06-27
Belgian Grand Prix: Driver Pole Position,Pierre Gasly,GAS,0.405,,2026-06-20
Belgian Grand Prix: Driver Pole Position,Alexander Albon,ALB,0.405,,2026-06-20
Belgian Grand Prix: Driver Pole Position,Sergio Perez,PER,0.405,,2026-06-20
Belgian Grand Prix: Driver Pole Position,Charles Leclerc,LEC,0.405,,2026-06-20
Belgian Grand Prix: Driver Pole Position,Lando Norris,NOR,0.405,,2026-06-20
Belgian Grand Prix: Driver Pole Position,Kimi Antonelli,ANT,0.405,,2026-06-20
Belgian Grand Prix: Driver Pole Position,Max Verstappen,VER,0.405,,2026-06-20
Belgian Grand Prix: Driver Pole Position,Lewis Hamilton,HAM,0.405,,2026-06-20
Belgian Grand Prix: Driver Pole Position,Oscar Piastri,PIA,0.405,,2026-06-20
