evento,driver,codice,prob_mercato,volume,data
Hungarian Grand Prix: Practice 1 Fastest Lap,Lewis Hamilton,HAM,0.405,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Alexander Albon,ALB,0.405,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Lewis Hamilton,HAM,0.405,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Carlos Sainz Jr.,SAI,0.405,,2026-06-27
Hungarian Grand Prix: Practice 1 Fastest Lap,Alexander Albon,ALB,0.4,,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,Williams,,0.395,8.72,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Franco Colapinto,COL,0.395,,2026-06-27
Hungarian Grand Prix: Practice 3 Fastest Lap,Oscar Piastri,PIA,0.395,,2026-06-27
Hungarian Grand Prix: Practice 2 Fastest Lap,Sergio Perez,PER,0.39,,2026-06-27
Hungarian Grand Prix: Which Constructor Scores 1st?,Audi Revolut,,0.385,8.72,2026-06-27
Will there be a safety car during the 2026 F1 Belgian Grand Prix?,Will there be a safety car during the 2026 F1 Belgian Grand Prix?,,0.38,11.603418999999999,2026-06-20
Hungarian Grand Prix: Constructor Pole Position,Alpine,,0.38,8.72,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Audi Revolut,,0.38,8.72,2026-06-27
Hungarian Grand Prix: Constructor Pole Position,Tgr Haas,,0.365,8.72,2026-06-27
Hungarian Grand Prix: Driver Winner,Kimi Antonelli,ANT,0.355,1494.0552240000002,2026-06-27
Belgian Grand Prix: Practice 3 Fastest Lap,Kimi Antonelli,ANT,0.295,,2026-06-20
Belgian Grand Prix: Constructor Pole Position,Ferrari,,0.29,9.209457,2026-06-20
Hungarian Grand Prix: Driver Podium Finish,Franco Colapinto,COL,0.28,2.62,2026-06-27
Belgian Grand Prix: Practice 3 Fastest Lap,Arvid Lindblad,LIN,0.255,,2026-06-20
Belgian Grand Prix: Practice 3 Fastest Lap,Liam Lawson,LAW,0.255,,2026-06-20
Belgian Grand Prix: Which Constructor Scores 1st?,Ferrari,,0.225,302.840816,2026-06-20
Hungarian Grand Prix: Driver Winner,George Russell,RUS,0.215,1213.7218219999997,2026-06-27
Belgian Grand Prix: Driver Pole Position,Max Verstappen,VER,0.175,3432.7093669999995,2026-06-20
Belgian Grand Prix: Driver Pole Position,George Russell,RUS,0.17,1899.8609539999998,2026-06-20
Belgian Grand Prix: Driver Fastest Lap,George Russell,RUS,0.17,86.4,2026-06-20
Belgian Grand Prix: Driver Winner,George Russell,RUS,0.165,9542.763013000005,2026-06-20
Belgian Grand Prix: Driver Fastest Lap,Max Verstappen,VER,0.155,134.079487,2026-06-20
Belgian Grand Prix: Driver Podium Finish,Oscar Piastri,PIA,0.155,1086.326053,2026-06-20
Belgian Grand Prix: Driver Winner,Lewis Hamilton,HAM,0.15,9711.132152999999,2026-06-20
Belgian Grand Prix: Which Constructor Scores 1st?,Red Bull,,0.15,,2026-06-20
F1 Drivers' Champion,Lewis Hamilton,HAM,0.1475,5030702.56214393,2025-12-09
F1 Drivers' Champion,George Russell,RUS,0.145,2423994.3319559903,2025-12-09
Will there be a red flag during the 2026 F1 Hungarian Grand Prix?,Will there be a red flag during the 2026 F1 Hungarian Grand Prix?,,0.14,,2026-06-27
Belgian Grand Prix: Driver Winner,Max Verstappen,VER,0.1395,30727.164849000026,2026-06-20
Belgian Grand Prix: Which Constructor Scores 1st?,Mclaren Mastercard,,0.135,,2026-06-20
Belgian Grand Prix: Constructor Pole Position,Red Bull,,0.135,26.15875,2026-06-20
Hungarian Grand Prix: Driver Winner,Lewis Hamilton,HAM,0.13,1720.2017079999996,2026-06-27
F1 Constructors' Champion,Ferrari,,0.12,590677.0268230016,2025-12-09
Will there be a red flag during the 2026 F1 Belgian Grand Prix?,Will there be a red flag during the 2026 F1 Belgian Grand Prix?,,0.115,99.999997,2026-06-20
Belgian Grand Prix: Driver Fastest Lap,Lewis Hamilton,HAM,0.11,155.403404,2026-06-20
Belgian Grand Prix: Driver Winner,Charles Leclerc,LEC,0.105,13217.418925000002,2026-06-20
Hungarian Grand Prix: Driver Winner,Charles Leclerc,LEC,0.105,1335.1802660000003,2026-06-27
Belgian Grand Prix: Practice 2 Fastest Lap,Charles Leclerc,LEC,0.1,,2026-06-20
Belgian Grand Prix: Practice 2 Fastest Lap,Lando Norris,NOR,0.1,,2026-06-20
Belgian Grand Prix: Practice 2 Fastest Lap,Max Verstappen,VER,0.1,59.347825,2026-06-20
Belgian Grand Prix: Practice 2 Fastest Lap,Franco Colapinto,COL,0.1,164,2026-06-20
Belgian Grand Prix: Practice 2 Fastest Lap,Carlos Sainz Jr.,SAI,0.1,164,2026-06-20
Belgian Grand Prix: Practice 2 Fastest Lap,Oscar Piastri,PIA,0.1,,2026-06-20
Belgian Grand Prix: Practice 2 Fastest Lap,Isack Hadjar,HAD,0.1,,2026-06-20
